code,name,offered
ABPL90405,Energy & Carbon in the Built Environment,['Semester 1']
ABPL90409,Realising The Knowledge Economy,['Semester 1']
ACCT10001,Accounting Reports and Analysis,"['Summer Term', 'Semester 1', 'Semester 2']"
ACCT10002,Introductory Financial Accounting,"['Summer Term', 'Semester 1', 'Semester 2']"
ACCT20001,Cost Management,"['Semester 1', 'Semester 2']"
ACCT20002,Intermediate Financial Accounting,"['Summer Term', 'Semester 1', 'Semester 2']"
ACCT20007,Accounting Information: Risks & Controls,"['Semester 1', 'Semester 2']"
ACCT30001,Financial Accounting Theory,"['Semester 1', 'Semester 2']"
ACCT30002,Enterprise Performance Management,"['Semester 1', 'Semester 2']"
ACCT30004,Auditing and Assurance Services,"['Semester 1', 'Semester 2']"
ACCT40001,Research in Financial Accounting,['Semester 1']
ACCT40002,Research in Management Accounting,['Semester 1']
ACCT40008,Honours Research Essay Part 1,['Semester 1']
ACCT90002,Financial Statement Analysis,"['Semester 1', 'Semester 2']"
ACCT90004,Accounting for Decision Making,"['Summer Term', 'Semester 1', 'Semester 2']"
ACCT90007,Assurance Practices,['Semester 1']
ACCT90009,Strategic Cost Management,"['Semester 1', 'Semester 2']"
ACCT90010,Strategic Performance Management,"['Semester 1', 'Semester 2']"
ACCT90012,Corporate Reporting,"['Semester 1', 'Semester 2']"
ACCT90013,Theory of Financial Accounting,"['Semester 1', 'Semester 2']"
ACCT90014,Auditing and Assurance Services,"['Semester 1', 'Semester 2']"
ACCT90015,Legal Issues for Accountants,"['Semester 1', 'Semester 2']"
ACCT90016,Taxation for Business Decision Making,"['Semester 1', 'Semester 2']"
ACCT90019,Financial Accounting Research,['Semester 1']
ACCT90020,Management Accounting Research,['Semester 1']
ACCT90030,Information Processes & Control,"['Semester 1', 'Semester 2']"
ACCT90033,Integrated Accounting Studies,"['Semester 1', 'Semester 2']"
ACCT90041,Fundamentals in Accounting,"['Semester 1', 'Semester 2']"
ACTL20001,Financial Mathematics I,['Semester 1']
ACTL30001,Actuarial Modelling I,['Semester 1']
ACTL30002,Actuarial Modelling II,['Semester 1']
ACTL30006,Financial Mathematics III,['Semester 1']
ACTL40001,Actuarial Studies Research Essay,"['Semester 1', 'Semester 2']"
ACTL40002,Risk Theory I,['Semester 1']
ACTL40004,Advanced Financial Mathematics I,['Semester 1']
ACTL40006,Actuarial Practice and Control I,['Semester 1']
ACTL40010,Actuarial Studies Projects Part 1,['Semester 1']
ACTL90001,Mathematics of Finance I,['Semester 1']
ACTL90003,Mathematics of Finance III,['Semester 1']
ACTL90004,Insurance Risk Models,['Semester 1']
ACTL90006,Life Insurance Models I,['Semester 1']
ACTL90009,Actuarial Practice and Control III,"['Semester 1', 'Semester 2']"
ACTL90010,Actuarial Practice And Control I,['Semester 1']
ACTL90013,Actuarial Studies Projects,"['Semester 1', 'Semester 2']"
ACTL90016,Actuarial Science Research Report Part 1,"['Semester 1', 'Semester 2']"
ACTL90017,Actuarial Science Research Report Part 2,"['Semester 1', 'Semester 2']"
ACTL90018,General Insurance Practice,['Semester 1']
ACUR90002,Art Museums and Curatorship,['Semester 1']
ACUR90006,Exhibition Management,"['Semester 1', 'Semester 2']"
ACUR90007,Collection Management,['Semester 1']
ACUR90009,Art Curatorship Thesis Part 1,"['Semester 1', 'Semester 2']"
ACUR90010,Art Curatorship Thesis Part 2,"['Semester 1', 'Semester 2']"
AGRI10045,Foundations of Agricultural Sciences 1,['Semester 1']
AGRI10047,Agriculture in Australia,['Semester 1']
AGRI10050,Agricultural Systems Biology,['Semester 1']
AGRI20026,Plant Growth Processes,['Semester 1']
AGRI20042,Agricultural Economics,['Semester 1']
AGRI20043,Biochemistry in Agricultural Systems,['Semester 1']
AGRI20044,Microbiology in Agriculture,['Semester 1']
AGRI30002,Industry Project,"['Semester 1', 'Semester 2']"
AGRI30022,Special Studies,"['Summer Term', 'Semester 1']"
AGRI30030,Livestock Production Systems,['Semester 1']
AGRI30033,Farm Management Economics,['Semester 1']
AGRI30037,Soil Management,['Semester 1']
AGRI30042,Plant Pathology,['Semester 1']
AGRI40017,Agric.Science Research Project Part 1,['Semester 1']
AGRI90013,Financial Management for Agribusiness,['Semester 1']
AGRI90034,Special Studies in Viticulture/Oenology,"['Semester 1', 'Semester 2']"
AGRI90066,Soil Science and Management,['Semester 1']
AGRI90070,Minor Research Project,"['Semester 1', 'Semester 2']"
AGRI90072,Major Research Project,"['Semester 1', 'Semester 2']"
AGRI90075,Research Methods For Life Sciences,['Semester 1']
AGRI90078,Internship for Agricultural Sciences,"['Semester 1', 'Semester 2']"
AGRI90079,Minor Research Project Part 1,"['Semester 1', 'Semester 2']"
